Issue Link,Bug Type,Root Cause,Effect,Rational
https://github.com/Nerogar/OneTrainer/issues/1429,SB.Data flow Bug,API Misuse (APIM),Crash,"BT: The data flow process inside the matrix mutiplication is not correct
RC: Used lower level APIs, not build for this task
ET: Throws Exception Code: 0xC0000005"
https://github.com/pytorch/pytorch/issues/181610,Initialization Bug,API Misuse (APIM),Crash,"BT: C10D_NCCL_CHECK got incorrect value as the first parameter
RC: Incorrect functino used ""handles registered via ncclCommWindowRegister() (symmetric registration) require ncclCommWindowDeregister() instead""
ET: NCCLComm::abort() crashes"
https://github.com/verl-project/verl/issues/6176,Initialization Bug,Incorrect Model Parameter or Structure (IPS),Hang,"BT: prepare_dynamic_batch missed a parameter dp_group
RC: dp_group parameter is missing
ET: permanent NCCL hang"
https://github.com/pytorch/executorch/issues/19140,API Bug,API Change (APIC),Crash,"BT: Issue in the pytorch api
RC: Bug in the specific pytorch version ""This issue should be opened in pytorch/pytorch instead.""
ET: RuntimeError: <weakref at 0x7fda0b097f60"
https://github.com/pytorch/executorch/issues/19138,API Bug,API Change (APIC),Crash,"BT: Pytorch api issue
RC: this should be opened against pytorch/pytorch instead
ET: associative_scan crashes"
https://github.com/gc-os-ai/pyaptamer/issues/526,Initialization Bug,API Misuse (APIM),Data Corruption,"BT: torch.arange got incorrect parameter
RC: torch.arange incorrectly used
ER: Shape mismatch"
https://github.com/sktime/sktime-mcp/issues/292,NMSB.Logic Bugs,Others,Incorrect Functionality,"BT: Logical segments not implemented
RC: Missed detection task implementation code
ET: doesnt list detection tasks"
https://github.com/kornia/kornia/issues/3706,Data Bug,API Misuse (APIM),Crash,"BT: Point data type incorrect
RC: Incorrect data passed to the API
ET: Throws TypeError"
https://github.com/kornia/kornia/issues/3705,Data Bug,API Misuse (APIM),Crash,"BT: Point data type incorrect
RC: Incorrect data passed to the API
ET: transform_points crashes"
https://github.com/kornia/kornia/issues/3704,NMSB.Logic Bugs,Others,Crash,"BT: Added logical checks 
RC: Missed some conditional checks
ET: RandomLinearCornerIllumination crash on CUDA input"
https://github.com/vllm-project/vllm-omni/issues/3097,NMSB.Logic Bugs,Absence of type checking,Crash,"BT: Incorrect logical flow
RC: first_prompt type not checked
ET: Throws AttributeError"
https://github.com/Lightning-AI/litData/issues/811,NMSB.Logic Bugs,Others,Crash,"BT: Incorrect improt statement
RC: LitFormatter import incorrect (Not related to DL)
ET: Throws importError"
https://github.com/unslothai/unsloth/issues/5164,NMSB.Logic Bugs,Others,Crash,"BT: Missed logical implementation 
RC: Added additional operations
ET: Throws AssertionError"
https://github.com/pytorch/executorch/issues/19069,NMSB.Logic Bugs,API Misuse (APIM),Crash,"BT: Missed certain implications 
RC: _validate_resize_parameters added a new parameter
ET: Returns Graph result: ERROR."
https://github.com/sktime/sktime/issues/9991,API Bug,Others,Unknown,"BT: Incorrect API (eval) used for the task
RC: Not related to DL
ET: Not specified"
https://github.com/omega-memory/omega-memory/issues/53,NMSB.Logic Bugs,Others,Crash,"BT: Set OMEGA_RERANKER_PRECISION=int8 in your environment to use it by default.
RC: Not related to DL
ET: Throws huggingface_hub.errors.RemoteEntryNotFoundError"
https://github.com/flagos-ai/FlagGems/issues/2612,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT: Incorrect if statement
RC: Incorrect variable type checked
ET: Operator crash on nvidia"
https://github.com/huggingface/lerobot/issues/3433,SB.Control and Sequence Bug,Absence of type checking,Data Corruption,"BT: Control sequence incorrect
RC: added actions_is_pad condition
ET: Incorrect loss normalization"
https://github.com/ultralytics/ultralytics/issues/24306,Initialization Bug,API Misuse (APIM),Crash,"BT: ct.models.MLModel incorrectly initialized
RC: Added skip_model_load
ET: CoreML export crashes"
https://github.com/pytorch/pytorch/issues/181101,SB.Control and Sequence Bug,Absence of type checking,Incorrect Functionality,"BT: Missed conditional flow
RC: Added try catch block
ET: Incorrect value returned"
https://github.com/pytorch/pytorch/issues/181097,Initialization Bug,API Misuse (APIM),Crash,"BT: ep.module incorrectly initialized
RC: check_guards=False works
ET: Throws AssertionError"
https://github.com/ModelCloud/GPTQModel/issues/2805,NMSB.Logic Bugs,Structure Inefficiency (SI),Memory Out of Bound,"BT: Code logic incorrect
RC: Incorrect structure of the code
ET: gpu memory usage increases until the oom"
https://github.com/openvinotoolkit/openvino/issues/35445,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT: else if condition incorrect
RC: data type checker incorrect
ET: Throws Segmentation fault"
https://github.com/vllm-project/vllm/issues/40437,Initialization Bug,Absence of type checking,Crash,"BT: Precondition (if else) added before initializing self.q_proj
RC: added precondition check
ET: Throws RuntimeError: split_with_sizes expects split_sizes to sum exactly to 18"
https://github.com/vllm-project/vllm-omni/issues/2943,NMSB.Logic Bugs,Others,Crash,"BT: Missed implemention additonal functions
RC: Not related to DL
ET: Throws Error: local media path not allowed"
https://github.com/pytorch/pytorch/issues/180848,NMSB.Logic Bugs,Others,Incorrect Functionality,"BT: added test_adaptive_avg_pool2d_flatten_sum function
RC: Not related to DL
ET: torch.compile produces wrong results"
https://github.com/sgl-project/sglang/issues/23193,SB.Data flow Bug,Incorrect Model Parameter or Structure (IPS),Crash,"BT: block_idx initialized in wrong scope
RC: Not related to DL
ET: Error executing request"
https://github.com/huggingface/lerobot/issues/3404,Initialization Bug,Absence of type checking,Incorrect Functionality,"BT: key value incorrectly initialized in loop
RC: key type not checked
ET: leaks image PNG temp dirs"
https://github.com/huggingface/transformers/issues/45491,SB.Control and Sequence Bug,Others,Incorrect Functionality,"BT: attention_mask initialization if condition incorrect
RC: Not directly related to DL
ET: Output is nan"
https://github.com/flagos-ai/FlagGems/issues/2493,NMSB.Logic Bugs,Others,Crash,"BT: added @pytest.mark.skip operation
RC: Not related to DL
ET: Throws RecursionError"
https://github.com/unslothai/unsloth/issues/5087,Initialization Bug,API Misuse (APIM),Incorrect Functionality,"BT: Template value incorrect
RC: API incorrectly invoked with wrong template
ET: Completely difference behaviour observed in the thinking mode chat template"
https://github.com/pytorch/executorch/issues/18971,Initialization Bug,Incorrect Model Parameter or Structure (IPS),Incorrect Functionality,"BT: resolve_arg parameter incorrect RC: resolve_arg parameter incorrect
ET: reproduces consistently with a small self-contained repro"
https://github.com/vllm-project/vllm/issues/40080,Others,Incorrect Functionality,Unknown,"BT: _lora_aux_cuda_stream initialized in different scope (wrong if condition)
RC: Not a part of DL
ET: generates infinite repetition loops"
https://github.com/ultralytics/ultralytics/issues/24257,Initialization Bug,API Misuse (APIM),Crash,"BT: path incorrectly initialized
RC: path value incorrect (wong parameter to function)
ET: Throws FileNotFoundError"
https://github.com/fla-org/flash-linear-attention/issues/838,SB.Control and Sequence Bug,Absence of type checking,Incorrect Functionality,"BT: if condition incorrect
RC: cu_seqlens type checking missing
ET: overwrites user-provided cu_seqlens"
https://github.com/pytorch/pytorch/issues/180548,SB.Data flow Bug,Unaligned Tensor (UT),Crash,"BT: torch._check() method got wrong data type
RC: Tensor does not align with the type
ET: Throws RuntimeError"
https://github.com/pytorch/pytorch/issues/180486,SB.Control and Sequence Bug,Others,Unknown,"BT: If statement incorrect
RC: ET: Not specified"
https://github.com/pytorch/torchtitan/issues/2983,Initialization Bug,Unknown,Incorrect Functionality,"BT: self.ntokens_seen incorrectly initialized 
RC: Not related to DL
ET: Token count incorrect"
https://github.com/roboflow/rf-detr/issues/969,NMSB.Logic Bugs,Unknown,Incorrect Functionality,"BT: Missed implementing certain functionalities
RC: Not related to bugs in DL
ET: silently overwrites checkpoint_best_ema.pth"
https://github.com/sgl-project/sglang/issues/22843,NMSB.Logic Bugs,Others,Crash,"BT: bisheng path incorrect 
RC: Not related to DL
ET: Throws FileNotFoundError"
https://github.com/mlflow/mlflow/issues/22596,NMSB.Logic Bugs,Others,Crash,"BT: Missed certain logical implementations
RC: Not related to DL
ET: Throws ERROR: ResolutionImpossible"
https://github.com/vllm-project/vllm-omni/issues/2804,SB.Logic Bugs,Confusion with Computation Model (CCM),Incorrect Functionality,"BT: Operations after if request.model is not None and request.model != model_name: is incorrect
RC: Incorrect operation when model does not match
ET: model mismatch"
https://github.com/NVIDIA/NVFlare/issues/4443,SB.Data flow Bug,Absence of type checking,Crash,"BT:  mask type conversion incorrect
RC: didn't check mask type 
ET: Throws AttributeError"
https://github.com/unslothai/unsloth/issues/5027,SB.Logic Bugs,Incorrect Model Parameter or Structure (IPS),Crash,"BT: Missed some implementation in the header of the model
RC: Header not correctly implemented
ET: Throws NotImplementedError"
https://github.com/vllm-project/vllm/issues/39809,SB.Control and Sequence Bug,Others,Crash,"BT: added addtional if block
RC: Not reladed to DL
ET: Throws RuntimeError: split_with_sizes expects split_sizes to sum exactly to 512"
https://github.com/pytorch/executorch/issues/18873,API Bug,API Misuse (APIM),Incorrect Functionality,"BT: generate_8bit_table_values used incorrect function for the task
RC: wrong function sued 
ET: uses an invalid int8 input code"
https://github.com/roboflow/rf-detr/issues/965,SB.Control and Sequence Bug,Absence of type checking,Incorrect Functionality,"BT: added additioinal if checks
RC: missed _ckpt_proj_w type checking
ET: patch_size change"
https://github.com/vllm-project/vllm-omni/issues/2793,Initialization Bug,API Misuse (APIM),Memory Out of Bound,"BT: incorrectly initialized
RC: passed incorrect parameters
ET: OOM when inputting 20 images"
https://github.com/open-edge-platform/training_extensions/issues/6106,SB.Control and Sequence Bug,Others,Crash,"BT: added conditional checks 
RC:  not related to DL
ET: Throws RuntimeError: release unlocked lock"
https://github.com/intel/intel-xpu-backend-for-triton/issues/6659,Initialization Bug,Others,Crash,"BT: GIT_TAG inccorrectly initialized
RC: Not related to DL
ET: RuntimeError: ZE_RESULT_ERROR_INVALID_MODULE_UNLINKED"
https://github.com/deepspeedai/DeepSpeed/issues/7972,SB.Control and Sequence Bug,Absence of type checking,Incorrect Functionality,"BT:  added if check
RC: torch_arch_list type not checked 
ET: wrong -gencode flags"
https://github.com/roboflow/rf-detr/issues/963,Initialization Bug,Unaligned Tensor (UT),Crash,"BT: detections.data[""source_shape""] incorrectly initialized
RC: data not correct
ET: Throws TypeError"
https://github.com/mir-group/nequip/issues/592,SB.Control and Sequence Bug,Absence of type checking,Crash,"BT: Added additional if block
RC: Added weight_index_slices and index_slice_data type checker 
ET: Throws _pickle.PicklingError"
https://github.com/unslothai/unsloth/issues/4997,API Bug,API Change (APIC),Crash,"BT: kernels api version incorrect
RC: API version changed
ET: Throws  Validation error"
https://github.com/tenstorrent/tt-xla/issues/4223,Initialization Bug,API Misuse (APIM),Crash,"BT: AutoModelForImageTextToText.from_pretrained incorrectly initialized
RC:  AutoModelForImageTextToText api incorrectly used
ET: Throws KeyError"
https://github.com/zaochuan5854/ComfyUI-TensorRT-Reforge/issues/18,Initialization Bug,API Misuse (APIM),Crash,"BT:  build_onnx_tracing_model incorrectly initialized
RC: build_onnx_tracing_model api misuesd
ET: Throws AssertionError"
https://github.com/ooples/AiDotNet.Tensors/issues/148,Processing Bug,Structure Inefficiency (SI),Bad Performance,"BT: Backward proceesing incorrect
RC: Backward propagation is ineffecient
ET: Output is slow"
https://github.com/zaochuan5854/ComfyUI-TensorRT-Reforge/issues/12,API Bug,Absence of inter API compatibility,Crash,"BT:  ONNX Export cannot run while Dynamic VRAM is enabled
RC: ONNX does not work with vram 
ET: Throws ConversionError"
https://github.com/Project-MONAI/MONAI/issues/8820,SB.Logic Bugs,API Misuse (APIM),Incorrect Functionality,"BT: SSIMLoss.forward not correctly printed
RC: The loss function API is used incorrectly
ET: Print incorrect value"
https://github.com/innat/medic-ai/issues/89,API Bug,Absence of inter API compatibility,Incorrect Functionality,"BT: API incompatible
RC: Not compatible with ONNX format
ET: breaks ONNX export"
https://github.com/huggingface/diffusers/issues/13439,Initialization Bug,API Misuse (APIM),Incorrect Functionality,"BT: latent_mask incorrectly initialized
RC: torch.zeros api misued
ET: image conditioning preprocessed at latent resolution instead of pixel resolution"
https://github.com/sgl-project/sglang/issues/22510,SB.Control and Sequence Bug,Absence of type checking,Incorrect Functionality,"BT: New control sequence added
RC: self.tokenizer_manager.server_args.incremental_streaming_output type not checked
ET:  returns broken in Gemma"
https://github.com/NVIDIA/nvalchemi-toolkit-ops/issues/63,Initialization Bug,API Misuse (APIM),Incorrect Functionality,"BT: state incorrectly initialized
RC: _state_registry api misused
ET: Returns no autograd formula was registered"
https://github.com/NVIDIA/nvalchemi-toolkit/issues/62,NMSB.Logic Bugs,Others,Crash,"BT: for loop logic incorrect
RC: not related to dl
ET: Throws RuntimeError"
https://github.com/pytorch/pytorch/issues/179821,API Bug,API Change (APIC),Crash,"BT: Pytorch version mismatch
RC: API version incorrect
ET: Throws ERROR: THESE PACKAGES DO NOT MATCH THE HASHES FROM THE REQUIREMENTS FILE"
